Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,2.04553E+11,2.09631E+11,2.12344E+11,2.25544E+11,2.41288E+11,2.55718E+11,2.61801E+11,2.78308E+11,2.92484E+11,3.1309E+11,3.35557E+11,3.48981E+11,3.62627E+11,3.72126E+11,3.8741E+11,3.92588E+11,4.02751E+11,4.17231E+11,4.20958E+11,4.38009E+11,4.51305E+11,4.66378E+11,4.81886E+11,4.71167E+11,4.92802E+11,5.18814E+11,5.39389E+11,5.53211E+11,5.85042E+11,6.07734E+11,6.29486E+11,6.27082E+11,6.29764E+11,6.55239E+11,6.81315E+11,7.07772E+11,7.3512E+11,7.63886E+11,7.99508E+11,8.39705E+11,8.72634E+11,8.90306E+11,9.25737E+11,9.54348E+11,9.94663E+11,1.02604E+12,1.05431E+12,1.09409E+12,1.13333E+12,1.15478E+12,1.18049E+12,1.20892E+12,1.25629E+12,1.28904E+12,1.32265E+12,1.35177E+12,1.38934E+12,1.42155E+12,1.46287E+12,1.49477E+12,1.48977E+12,1.52123E+12,1.58617E+12,NA
Austria,AUT,84930957866,89634416746,92008541235,95816100869,1.01684E+11,1.05223E+11,1.11161E+11,1.14504E+11,1.19625E+11,1.27133E+11,1.35169E+11,1.42083E+11,1.50903E+11,1.58283E+11,1.64523E+11,1.63924E+11,1.7143E+11,1.80138E+11,1.79759E+11,1.89388E+11,1.92667E+11,1.92389E+11,1.96259E+11,2.02093E+11,2.02197E+11,2.07249E+11,2.12019E+11,2.14896E+11,2.21979E+11,2.30608E+11,2.40629E+11,2.48911E+11,2.54122E+11,2.5546E+11,2.61597E+11,2.68576E+11,2.74886E+11,2.80641E+11,2.90692E+11,3.0103E+11,3.11192E+11,3.15136E+11,3.2034E+11,3.23356E+11,3.322E+11,3.39655E+11,3.51387E+11,3.64485E+11,3.69808E+11,3.55886E+11,3.62424E+11,3.73017E+11,3.75555E+11,3.75651E+11,3.78135E+11,3.81971E+11,3.8957E+11,3.98369E+11,4.08031E+11,4.1395E+11,3.86492E+11,4.02871E+11,4.22235E+11,NA
Azerbaijan,AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240091908,20098411229,15556170225,11962695103,9606044019,8472530911,8582673762,9080468853,9988515703,10727665995,11918436828,13098362058,14334705485,15798035140,17259953999,22086102614,29705808016,37132259976,41127311680,44950656172,47220189861,47267410116,48290862738,51096465689,52501877460,53076235355,51430872122,51533733835,52306739843,53614408374,51308988759,54190732986,56692460618,NA
Bahamas (the),BHS,2183847593,2416800743,2669404077,2950333636,3260164905,3600056543,3926651106,4303535551,4665969140,5085050744,4797763199,4875799237,4705276158,5061351170,4213360800,3589651679,3775781759,4121451906,4705854009,5935931107,6321486567,5738240609,6122639481,6342873999,7241732100,7591448386,7727866731,7958506409,8142324641,8690085673,8551370260,8193770339,7880310911,7904567028,8153475202,8510495663,8869939031,8984161956,9407926777,10080038841,10498201119,10773884912,11065313785,10925346785,11021749177,11396057060,11682849345,11851795019,11576401013,11093036717,11263721112,11332786953,11682559558,11348145651,11557758065,11672900000,11583838873,11876233702,12222818652,12131922209,9279937630,10856087753,12415913222,NA
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7719989594,7309541112,6757216272,7188081842,7547748015,7188605896,7273646666,8030033862,8592135562,8623411549,9006118310,10017505286,10687676226,12063180869,12033022738,12505919514,13019913571,13422619470,14065563317,14670382393,15447922938,15832722682,16362889423,17393169261,18607379554,19866912679,21151705947,22906020072,24336503493,24954622923,26036230938,26552663487,27542575573,29034512771,30297627559,31050638298,32155459790,33535234421,34243206974,34985245170,33360307403,34250930437,35915819622,NA
Bangladesh,BGD,22247400257,23595183544,24881836210,24768401339,27481231964,27922651514,28639373484,28102137810,30768877255,31144521526,32894797633,31092332780,26747574550,27637113341,30288053175,29049812717,30694427543,31514906796,33744220164,35364494315,35654179695,38233382979,39049408714,40564934386,42513393942,43934197797,45767739945,47494283015,48641866884,50021633388,52833978753,54675363277,57651171373,60367441898,62715811717,65927662720,68909517647,72003483666,75731123365,79267885246,83463768030,87701463720,91063169522,95379169818,1.00377E+11,1.06937E+11,1.14072E+11,1.22124E+11,1.29468E+11,1.36E+11,1.43577E+11,1.52859E+11,1.62828E+11,1.72619E+11,1.83082E+11,1.95079E+11,2.08955E+11,2.22726E+11,2.39028E+11,2.57868E+11,2.6676E+11,2.85269E+11,3.05523E+11,NA
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2851673819,2797492017,2919468572,3025801624,3173368133,3423842338,3573569183,3505680246,3333869014,3350580137,3471213555,3509335804,3688458153,3784024887,3916669424,4057669524,3923458318,3770447099,3555813615,3584013635,3656080352,3729713737,3878024953,4061847304,4213291856,4227391866,4415391998,4310947480,4344891948,4439414237,4502080948,4680158851,4963099050,5066290234,5099346924,4842570076,4732537777,4697131085,4682769964,4621931032,4621878810,4734000000,4854006751,4876462323,4833953404,4846695635,4229324089,4196215177,4671803290,NA
Belarus,BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29452716337,29099285029,26305753291,24306515541,21462652290,19230536339,19768992246,22022658441,23872559844,24684226697,26115912676,27349969477,28729848600,30753347145,34274526375,37496332399,41245963659,44793119256,49362017184,49460738873,53317819269,56185628815,57133556524,57706875065,58703016906,56454889147,55028933825,56422059344,58199150812,59040830813,58643542627,60073780097,57251844490,NA
Belgium,BEL,1.0741E+11,1.12757E+11,1.18634E+11,1.23797E+11,1.32409E+11,1.37123E+11,1.41451E+11,1.46922E+11,1.53084E+11,1.63234E+11,1.72347E+11,1.79216E+11,1.88707E+11,2.00749E+11,2.09914E+11,2.05787E+11,2.1742E+11,2.18781E+11,2.24999E+11,2.30266E+11,2.40499E+11,2.39828E+11,2.41255E+11,2.42007E+11,2.47976E+11,2.52072E+11,2.56667E+11,2.62587E+11,2.7499E+11,2.84529E+11,2.93456E+11,2.98835E+11,3.0341E+11,3.00491E+11,3.10188E+11,3.17585E+11,3.21782E+11,3.33989E+11,3.40541E+11,3.52606E+11,3.65711E+11,3.69733E+11,3.76044E+11,3.79947E+11,3.93515E+11,4.02652E+11,4.12929E+11,4.28112E+11,4.30025E+11,4.21336E+11,4.33404E+11,4.40748E+11,4.44006E+11,4.46045E+11,4.53086E+11,4.62336E+11,4.68192E+11,4.75775E+11,4.84305E+11,4.95158E+11,4.69108E+11,5.01247E+11,5.16334E+11,NA
Belize,BLZ,142478215.9,149448645.2,156760647.6,164530386,172756707.7,181274547.9,189922875.9,199254020.7,213933513.6,224857760.6,235668232.2,244999377,270034157.8,284486100,323062372.9,334669436.8,334555579.1,356290297.8,384511365.3,413415167.3,468964447.7,474281429.8,473770579.2,463616823.1,472759648.3,477546405.5,499224419.1,552817678.7,606925877.9,685882207.5,750867159.9,839309583.8,946205904.4,1004282944,1004082219,1011427666,1022607041,1065910527,1107406655,1211759703,1360086532,1428003314,1505102242,1650573765,1729482180,1767862663,1847619000,1908535444,1879170833,1870701556,1893897375,1888250122,1957390277,2044252286,2126131098,2194709309,2194467136,2154673434,2177418128,2269658667,1957996150,2307742191,2509307581,NA
Benin,BEN,1651120631,1702986961,1644635648,1722427375,1836981870,1934229171,2003394551,2024999131,2102806394,2163314606,2208695702,2175635021,2315449324,2401263703,2481449394,2359973874,2380844453,2499497734,2530868381,2696279546,2879134858,3165730597,3236486776,3095770068,3341259668,3592867375,3670873613,3615810400,3738937614,3632222334,3958255491,4125523428,4247544481,4495438487,4586264346,4863513136,5073825258,5364793325,5577293440,5875201746,6219354273,6551040876,6855207726,7091272068,7405393051,7532259621,7829312268,8298002250,8704320326,8906198944,9094481754,9364019722,9814543623,10520350022,11189200117,11388160997,11768488384,12435945493,13268812303,14179807375,14725558724,15779238958,16765953415,NA
Bermuda,BMU,1684353374,1763181112,1841995308,1861704657,2068540045,2167002551,2478262917,2807253305,2866353374,2964853490,3152003711,3260353838,3319453908,3368703966,3398254000,3526304151,3841504522,4068054789,4127154858,4215804963,4550705357,4659055485,4412805195,4501455299,4523125325,4432505218,4728005566,4905305775,5104276009,5126931035,5127916037,4946675890,4943720834,5092455994,5122991041,5348359016,5487441778,5739864146,5963718853,6165450411,6739895069,7226679646,7119884453,7362722828,7533631299,7659759815,8084406665,8354841362,8198943713,7737613935,7543950875,7261600083,6876350478,6857116739,6603330213,6654541000,6610806937,6849550930,6819905985,6840793088,6373022722,6565093928,6757261643,NA
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163460578.4,188179569,194652520.6,214956756.1,224751602.4,233805794.9,260441413,336110904.6,352134565.2,378036060.2,417287990.1,415585973.8,434706633.3,443341500.6,465293571.3,498208984.2,525935175.4,554198082.5,586973527.9,633837330.2,655103005.4,709797257.2,787820172.2,849453726.3,900495211.2,966116542.6,1033742170,1223546061,1282269673,1368801510,1532317115,1654636122,1739327031,1776200288,1878802421,2003596839,2166429826,2267208560,2346603298,2481653802,2228068555,2326579651,NA,NA
Bolivia (Plurinational State of),BOL,4727739747,4826516221,5095783596,5442175896,5657500838,5935478858,6361087692,6762931565,7339771964,7668160505,8069284228,8477859237,9153331417,9678655892,9963166545,10691575418,11184945381,11740973137,11981979455,11997956711,11833371991,11865986702,11398616583,10937870663,10915922109,10732928706,10456675550,10714274143,11026005731,11443905788,11974420934,12605057006,12812599040,13359606833,13983135101,14637304838,15275687755,16032477213,16838807368,16910689782,17334777888,17626660727,18064782967,18554580624,19328918118,20183533307,21151739181,22117185837,23477060538,24265185360,25266542246,26581436462,27943010891,29842021104,31471565409,33000198249,34407300587,35850757841,37364958928,38193230080,34855949803,36986126813,38319728331,NA
Bosnia and Herzegovina,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2436037816,2942733622,5560520774,7472760183,8638510523,9467807509,10676417585,10935140619,11484898712,11929035686,12683578945,13177880591,13891331517,14704964355,15505477768,15039622522,15169815911,15315372001,15189504687,15546436275,15725819000,16404348871,16936219728,17485647794,18154910825,18679105434,18115912632,19454977964,20253843510,NA
Botswana,BWA,203297646.3,216193392.8,230606288.1,244260590.5,260949209,276120678.8,293637827.4,311034576.5,343901775.9,395911433.3,463692530.4,583423075.8,737224722.6,894277062.4,972953727,1055131835,1167475696,1307713345,1495145304,1676784361,1877778848,2047996824,2297146530,2599146161,2821253171,3022275113,3269283371,3657737272,4369166056,4939753185,5274313873,5667709608,5833040675,5944807979,6160480628,6593587690,6977980666,7558959722,7592496073,8326480944,8491986059,8513264764,9029979997,9447697368,9703335214,10145481816,10994036837,11630872553,12009117014,10310519328,11354171656,12130630062,12109898723,13454439438,14220639812,13530748845,14505561464,15102373014,15734874525,16211987796,14796883501,16553326592,17511419430,NA
